model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),graphics,Operating System,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price,cpu_score,gpu_score,ram_score,storage_score,gaming_score,editing_score,daily_score,all_rounder_score,performance_score,usage_category,budget_category,recommendation_note,cpu_score_source,gpu_score_source
Lenovo V15 ITL G2 82KBA033IH Laptop,Lenovo,11th Gen Core i3,8,512,0,Intel Integrated UHD,Windows,15.6,1920 x 1080,2,4,62,33921,54.52,16.42,55,75,40.52,48.19,58.0,49.21,46.26,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
HP Pavilion 15-ec2004AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,0,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,6,12,66,56150,73.2,77.12,55,75,72.5,69.9,69.67,69.99,71.01,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Lenovo V15 82KBA03HIH Laptop,Lenovo,11th Gen Core i3,8,256,1000,Intel Integrated UHD,Windows,15.6,1920 x 1080,2,4,66,35499,54.52,16.42,55,65,39.02,46.69,54.5,47.21,44.76,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop,Asus,Ryzen 5-5600H,8,512,0,AMD Radeon Vega 7,Windows,16.0,1200 x 1920,6,12,66,48990,73.2,17.26,55,75,45.57,54.94,63.69,55.03,53.05,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
HP 15s-fr4000TU Laptop,HP,11th Gen Core i5,8,512,0,Intel Integrated Iris Xe,Windows,15.6,1920 x 1080,4,8,63,52990,71.0,28.12,55,75,49.9,56.88,64.11,57.08,55.54,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Lenovo IdeaPad Gaming 3 82K101ECIN Laptop,Lenovo,11th Gen Core i5,8,256,1000,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,4,8,73,56700,71.0,77.12,55,65,70.45,67.63,65.51,67.33,68.74,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi,fallback,benchmark
Infinix Zero Book Ultra Laptop,Infinix,12th Gen Core i9,16,512,0,Missing,Windows,15.6,1920 x 1080,14,20,65,87620,100.0,35.0,80,75,64.0,75.0,79.75,73.75,72.75,Editing,High Budget,"Cocok untuk editing video, desain grafis, dan rendering ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,fallback
HP 15s-eq1559AU Laptop,HP,AMD Athlon Silver 3050U,8,512,0,AMD Radeon Graphics,Windows,15.6,1366 x 768,2,2,57,29212,13.61,73.06,55,75,55.78,48.03,51.39,51.1,48.93,Gaming,Low Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Dell Inspiron 3520 Laptop,Dell,12th Gen Core i3,8,512,0,Intel UHD Graphics,Windows,15.6,1920 x 1080,6,8,61,44087,54.52,16.42,55,75,40.52,48.19,58.0,49.21,46.26,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Dell Inspiron 3511 Laptop,Dell,11th Gen Core i3,8,512,0,Intel UHD Graphics,Windows,15.56,1920 x 1080,2,4,59,38800,54.52,16.42,55,75,40.52,48.19,58.0,49.21,46.26,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Asus Vivobook Pro 15 OLED M6500QH-HN701WS Laptop,Asus,Ryzen 7 5800H,16,512,0,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,8,16,68,65990,91.22,77.12,80,75,80.76,82.46,81.33,81.65,82.31,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Apple MacBook Air 2020 MGND3HN Laptop,Apple,Apple M1,8,256,0,Apple M1 Integrated Graphics,Mac,13.3,2560 x 1600,8,0,47,83900,100.0,25.0,55,60,53.5,64.0,67.25,62.0,62.5,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,fallback
HP 15s-fq5007TU Laptop,HP,12th Gen Core i3,8,512,0,Intel UHD Graphics,Windows,15.6,1920 x 1080,6,8,60,46790,54.52,16.42,55,75,40.52,48.19,58.0,49.21,46.26,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
HP 15s-fq5111TU Laptop,HP,12th Gen Core i5,8,512,0,Intel Iris Xe,Windows,15.6,1920 x 1080,10,12,61,58530,99.91,28.12,55,75,57.13,67.0,72.78,65.75,65.65,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Dell Inspiron 3520 D560871WIN9B Laptop,Dell,12th Gen Core i5,8,512,0,Intel UHD Graphics,Windows,15.6,1920 x 1080,10,12,55,57223,99.91,16.42,55,75,51.87,64.07,71.61,62.83,62.14,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Asus TUF Gaming A15 FA506IHRZ-HN111W Laptop,Asus,AMD Ryzen 5 4600H,8,512,0,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,6,12,69,49990,62.82,77.12,55,75,69.91,66.27,66.56,66.88,67.37,Gaming,Low Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
HP 15s-er1501AU Laptop,HP,AMD Ryzen 3 3250U,8,256,0,AMD Radeon,Windows,15.6,1920 x 1080,2,4,57,28490,17.49,7.39,55,60,24.95,30.72,40.74,32.84,28.34,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
HP Victus 15-fb0040AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,0,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,6,12,72,59800,73.2,77.12,55,75,72.5,69.9,69.67,69.99,71.01,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Realme Book Slim Laptop,Realme,11th Gen Core i5,8,512,0,Intel Iris Xe Graphics,Windows,14.0,1440 x 2160,4,8,61,49990,71.0,28.12,55,75,49.9,56.88,64.11,57.08,55.54,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
