category,price_range,name,brand,cpu,gpu,ram,storage,price_idr,marketplace,product_url,image_url,image_file,last_checked,notes
Daily Use,Low Range,Lenovo IdeaPad 1 14AMN7 82VF00A6ID,Lenovo,AMD Athlon Silver 7120U,AMD Radeon Graphics,8GB,256GB SSD,5999000,Blibli,https://www.blibli.com/p/lenovo-ideapad-1-14amn7-82vf00a6id-as-7120u-8gb-256gb-amd-radeon-windows-11-ohs-2021-grey-2-years/ps--YOI-16136-03215,,lenovo-ideapad-1-14amn7.png,2026-06-21,Cocok untuk Office browsing kuliah dan meeting online ringan
Daily Use,Low Range,ASUS Vivobook Go 14 E1404GA-FHD353,ASUS,Intel Core i3-N305,Intel UHD Graphics,8GB,512GB SSD,5999000,Blibli,https://www.blibli.com/p/asus-vivobook-go-14-e1404ga-fhd353/ps--ITS-60036-00609,,asus-vivobook-go-14-e1404ga.png,2026-06-21,SSD 512GB dan i3-N305 cukup untuk kerja ringan dan Canva ringan
Daily Use,Mid Range,Lenovo IdeaPad Slim 3 14ABR8,Lenovo,AMD Ryzen 5 7530U,AMD Radeon Graphics,8GB,512GB SSD,7970000,Blibli,https://www.blibli.com/p/lenovo-ideapad-slim-3-14abr8-amd-ryzen-5-7530u-8gb-ddr4-512gb-ssd-m-2-windows-11-office/ps--SEL-70089-00470,,lenovo-ideapad-slim-3-14abr8.png,2026-06-21,Ryzen 5 dan SSD 512GB nyaman untuk kuliah kerja dan multitasking harian
Daily Use,Mid Range,Acer Aspire Lite 15 AL15-42P-R50P,Acer,AMD Ryzen 5 7430U,AMD Radeon Graphics,8GB,512GB SSD,8819000,Blibli,https://www.blibli.com/p/acer-aspire-lite-15-al15-42p-r50p-amd-ryzen-5-7430u-8-512gb-ssd-windows-11-ohs-m365b-15-6-inch-fhd-ips-light-silver/ps--ACI-27019-05715,,acer-aspire-lite-15-al15-42p.png,2026-06-21,Layar 15 inci dan Ryzen 5 cocok untuk produktivitas harian lebih lega
Daily Use,High Range,HP 14-ep1155TU,HP,Intel Core 5 120U,Intel Graphics,16GB,512GB SSD,10549000,Blibli,https://www.blibli.com/p/hp-14-ep1155tu-laptop-silver-core-5-120u-16gb-512gb-win11-ohs24-m365-copilot-backlit-kb-14-fhd-250nits-free-bag/ps--BLG-60035-03508,,hp-14-ep1155tu.png,2026-06-21,RAM 16GB membuat multitasking Office meeting dan browsing lebih stabil
Daily Use,High Range,Lenovo IdeaPad Slim 3 14IRH8,Lenovo,Intel Core i7-13620H,Intel UHD Graphics,16GB,512GB SSD,11260000,Blibli,https://www.blibli.com/p/lenovo-ideapad-slim-3-14irh8-core-i7-13620h-16gb-512gb-w11-ohs/ps--SEL-70089-00463,,lenovo-ideapad-slim-3-14irh8.png,2026-06-21,Core i7 H-series memberi performa tinggi untuk kerja harian berat tanpa GPU dedicated
Gaming,Low Range,Acer Aspire 7 A715-42G-R75V,Acer,AMD Ryzen 5 5500U,NVIDIA GeForce RTX 3050 4GB,16GB,512GB SSD,9999999,Blibli,https://www.blibli.com/p/acer-aspire-7-a715-42g-r75v-nh-qe3sn-003-geforce-rtx-3050-r5-5500u-2x8gb-512gb-rtx30504gb-15-6-win11-ohs2021/ps--ITG-17865-06172,,acer-aspire-7-a715-42g-r75v.png,2026-06-21,RTX 3050 masih realistis untuk game populer di setting menengah
Gaming,Low Range,Acer Nitro V15 i5 RTX4050,Acer,Intel Core i5-13420H,NVIDIA GeForce RTX 4050 6GB,16GB,512GB SSD,12150000,Shopee,https://shopee.co.id/-PROMO-RAMADHAN-ACER-NITRO-V15-INTEL-CORE-i5-13420H-RTX-4050-6GB-RAM-16GB-SSD-512GB-i.310338638.43578916198,,acer-nitro-v15-i5-rtx4050.png,2026-06-21,RTX 4050 membuat performa gaming jauh lebih kuat di low range
Gaming,Mid Range,Acer Nitro V15 ANV15-51-517H,Acer,Intel Core i5-13420H,NVIDIA GeForce RTX 4050 6GB,16GB,512GB SSD,15394430,Shopee,https://shopee.co.id/Acer-Nitro-V15-ANV15-51-517H-Intel-Core-i5-13420H-Ram-16GB-SSD-512GB-15.6-FHD-IPS-Free-Install-Win-11-Garansi-1-Tahun-Backlit-Keyboard-NVIDIA-GeForce-RTX-4050-i.140312268.42250306683,,acer-nitro-v15-anv15-51-517h.png,2026-06-21,Kombinasi i5 H-series dan RTX 4050 cocok untuk gaming 1080p
Gaming,Mid Range,ASUS TUF Gaming A16 FA607NUG,ASUS,AMD Ryzen 7 7445HS,NVIDIA GeForce RTX 4050 6GB,32GB,1TB SSD,16199000,Shopee,https://shopee.co.id/Asus-TUF-Gaming-A16-RTX4050-Ryzen-7-16GB-1TB-i.1667818525.54202578350,,asus-tuf-gaming-a16-fa607nug.png,2026-06-21,Ryzen 7 RTX 4050 RAM besar dan SSD 1TB kuat untuk game modern
