model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),storage_size,storage_type,graphics,Operating System,screen_size(inches),resolution (pixels),price,cpu_score,gpu_score,ram_score,storage_score,gaming_score,editing_score,daily_score,all_rounder_score,performance_score,usage_category,budget_category,recommendation_note
Lenovo V15 ITL G2 82KBA033IH Laptop,Lenovo,11th Gen Core i3,8,512,0,512,SSD,Intel Integrated UHD,Windows,15.6,1920 x 1080,33921,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP Pavilion 15-ec2004AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,0,512,SSD,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,56150,72,58,55,80,64.35,65.45,69.15,65.85,65.6,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Lenovo V15 82KBA03HIH Laptop,Lenovo,11th Gen Core i3,8,256,1000,256,SSD,Intel Integrated UHD,Windows,15.6,1920 x 1080,35499,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop,Asus,Ryzen 5-5600H,8,512,0,512,SSD,AMD Radeon Vega 7,Windows,16.0,1200 x 1920,48990,72,31,55,80,52.2,58.7,66.45,59.1,57.5,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP 15s-fr4000TU Laptop,HP,11th Gen Core i5,8,512,0,512,SSD,Intel Integrated Iris Xe,Windows,15.6,1920 x 1080,52990,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo IdeaPad Gaming 3 82K101ECIN Laptop,Lenovo,11th Gen Core i5,8,256,1000,256,SSD,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,56700,68,58,55,65,61.1,61.8,62.7,61.65,61.95,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat
Infinix Zero Book Ultra Laptop,Infinix,12th Gen Core i9,16,512,0,512,SSD,Missing,Windows,15.6,1920 x 1080,87620,95,35,80,80,63.5,74.0,80.0,73.25,71.75,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
HP 15s-eq1559AU Laptop,HP,AMD Athlon Silver 3050U,8,512,0,512,SSD,AMD Radeon Graphics,Windows,15.6,1366 x 768,29212,22,30,55,80,39.25,40.95,51.35,43.85,39.7,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Dell Inspiron 3520 Laptop,Dell,12th Gen Core i3,8,512,0,512,SSD,Intel UHD Graphics,Windows,15.6,1920 x 1080,44087,54,25,55,80,45.0,50.9,60.45,52.2,49.4,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Dell Inspiron 3511 Laptop,Dell,11th Gen Core i3,8,512,0,512,SSD,Intel UHD Graphics,Windows,15.56,1920 x 1080,38800,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Asus Vivobook Pro 15 OLED M6500QH-HN701WS Laptop,Asus,Ryzen 7 5800H,16,512,0,512,SSD,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,65990,78,58,80,80,69.6,73.8,77.2,73.9,72.7,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Apple MacBook Air 2020 MGND3HN Laptop,Apple,Apple M1,8,256,0,256,SSD,Apple M1 Integrated Graphics,Mac,13.3,2560 x 1600,83900,75,58,55,65,62.85,64.25,64.8,63.75,64.4,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat
HP 15s-fq5007TU Laptop,HP,12th Gen Core i3,8,512,0,512,SSD,Intel UHD Graphics,Windows,15.6,1920 x 1080,46790,54,25,55,80,45.0,50.9,60.45,52.2,49.4,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP 15s-fq5111TU Laptop,HP,12th Gen Core i5,8,512,0,512,SSD,Intel Iris Xe,Windows,15.6,1920 x 1080,58530,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Dell Inspiron 3520 D560871WIN9B Laptop,Dell,12th Gen Core i5,8,512,0,512,SSD,Intel UHD Graphics,Windows,15.6,1920 x 1080,57223,71,25,55,80,49.25,56.85,65.55,57.3,55.35,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Asus TUF Gaming A15 FA506IHRZ-HN111W Laptop,Asus,AMD Ryzen 5 4600H,8,512,0,512,SSD,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,49990,65,58,55,80,62.6,63.0,67.05,63.75,63.15,Gaming,Low Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
HP 15s-er1501AU Laptop,HP,AMD Ryzen 3 3250U,8,256,0,256,SSD,AMD Radeon,Windows,15.6,1920 x 1080,28490,32,30,55,65,39.5,42.2,49.1,43.85,40.95,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
HP Victus 15-fb0040AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,0,512,SSD,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,59800,72,58,55,80,64.35,65.45,69.15,65.85,65.6,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
