processor_name,graphics,ram(GB),storage_size,storage_type,cpu_score,gpu_score,ram_score,storage_score,gaming_score,editing_score,daily_score,all_rounder_score,performance_score,usage_category
11th Gen Core i3,Intel Integrated UHD,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
AMD Ryzen 5 5600H,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,72,58,55,80,64.35,65.45,69.15,65.85,65.6,Gaming
11th Gen Core i3,Intel Integrated UHD,8,256,SSD,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use
Ryzen 5-5600H,AMD Radeon Vega 7,8,512,SSD,72,31,55,80,52.2,58.7,66.45,59.1,57.5,Daily Use
11th Gen Core i5,Intel Integrated Iris Xe,8,512,SSD,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use
11th Gen Core i5,4 GB NVIDIA GeForce GTX 1650,8,256,SSD,68,58,55,65,61.1,61.8,62.7,61.65,61.95,Gaming
12th Gen Core i9,Missing,16,512,SSD,95,35,80,80,63.5,74.0,80.0,73.25,71.75,Editing
AMD Athlon Silver 3050U,AMD Radeon Graphics,8,512,SSD,22,30,55,80,39.25,40.95,51.35,43.85,39.7,Daily Use
12th Gen Core i3,Intel UHD Graphics,8,512,SSD,54,25,55,80,45.0,50.9,60.45,52.2,49.4,Daily Use
11th Gen Core i3,Intel UHD Graphics,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
Ryzen 7 5800H,4 GB NVIDIA GeForce GTX 1650,16,512,SSD,78,58,80,80,69.6,73.8,77.2,73.9,72.7,Editing
Apple M1,Apple M1 Integrated Graphics,8,256,SSD,75,58,55,65,62.85,64.25,64.8,63.75,64.4,Gaming
12th Gen Core i3,Intel UHD Graphics,8,512,SSD,54,25,55,80,45.0,50.9,60.45,52.2,49.4,Daily Use
12th Gen Core i5,Intel Iris Xe,8,512,SSD,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use
12th Gen Core i5,Intel UHD Graphics,8,512,SSD,71,25,55,80,49.25,56.85,65.55,57.3,55.35,Daily Use
AMD Ryzen 5 4600H,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,65,58,55,80,62.6,63.0,67.05,63.75,63.15,Gaming
AMD Ryzen 3 3250U,AMD Radeon,8,256,SSD,32,30,55,65,39.5,42.2,49.1,43.85,40.95,Daily Use
AMD Ryzen 5 5600H,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,72,58,55,80,64.35,65.45,69.15,65.85,65.6,Gaming
11th Gen Core i5,Intel Iris Xe Graphics,8,512,SSD,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use
Ryzen 5-5600H,AMD Radeon Vega 7 Graphics,16,512,SSD,72,31,80,80,55.95,64.95,72.7,65.35,62.5,Daily Use
Apple M2,8-Core GPU,8,256,SSD,85,35,55,65,55.0,62.0,65.5,61.0,61.0,Daily Use
10th Gen Core i3,Intel UHD Graphics,8,1000,HDD,48,25,55,70,42.0,47.3,55.15,48.4,45.8,Daily Use
11th Gen Core i3,Intel Integrated UHD,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
AMD Ryzen 5 5500U,AMD Radeon Graphics,8,512,SSD,62,30,55,80,49.25,54.95,63.35,55.85,53.7,Daily Use
AMD Ryzen 5 5500U,AMD Radeon Graphics,8,512,SSD,62,30,55,80,49.25,54.95,63.35,55.85,53.7,Daily Use
Athlon Gold 3150U,AMD Radeon RADEON,4,256,SSD,26,30,30,65,34.25,33.85,41.05,35.8,33.85,Daily Use
11th Gen Core i3,Intel UHD Graphics,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
12th Gen Core i5,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,71,58,55,80,64.1,65.1,68.85,65.55,65.25,Gaming
11th Gen Core i3,Intel UHD Graphics,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
AMD Ryzen 5 4600H,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,65,58,55,80,62.6,63.0,67.05,63.75,63.15,Gaming
12th Gen Core i5,Intel Iris Xe,8,512,SSD,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use
AMD Ryzen 3 5300U,AMD Radeon Graphics,8,512,SSD,45,30,55,80,45.0,49.0,58.25,50.75,47.75,Daily Use
12th Gen Core i5,Intel Iris Xe Graphics,8,256,SSD,71,42,55,65,54.65,58.85,62.0,58.55,58.2,Daily Use
AMD Ryzen 3  3250U,AMD Radeon Graphics,8,1000,HDD,32,30,55,70,40.25,42.95,50.85,44.85,41.7,Daily Use
AMD Ryzen 3 3250U,AMD Radeon Radeon Graphics,4,256,SSD,32,30,30,65,35.75,35.95,42.85,37.6,35.95,Daily Use
12th Gen Core i5,4 GB NVIDIA GeForce RTX 3050,8,512,SSD,71,70,55,80,69.5,68.1,70.05,68.55,68.85,Gaming
12th Gen Core i7,Intel Integrated UHD,16,512,SSD,81,25,80,80,55.5,66.6,74.8,66.55,63.85,Daily Use
Ryzen 5 5600H,4 GB AMD Radeon RX 5500M,8,512,SSD,72,52,55,80,61.65,63.95,68.55,64.35,63.8,Daily Use
AMD Ryzen 5 5500U,AMD Radeon,16,512,SSD,62,30,80,80,53.0,61.2,69.6,62.1,58.7,Daily Use
12th Gen Core i5,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,71,58,55,80,64.1,65.1,68.85,65.55,65.25,Gaming
AMD Ryzen 3 3250U,AMD Radeon Graphics,8,512,SSD,32,30,55,80,41.75,44.45,54.35,46.85,43.2,Daily Use
12th Gen Core i5,Intel Iris XE Graphics,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
Celeron N4020,Intel UHD Graphics 600,4,128,HDD,22,25,30,25,25.0,25.2,25.35,25.35,24.95,Daily Use
10th Gen Core i3,Intel Integrated UHD,8,256,SSD,48,25,55,65,41.25,46.55,53.4,47.4,45.05,Daily Use
11th Gen Core i5,Intel Iris Xe Graphics,8,512,SSD,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use
12th Gen Core i7,Intel Integrated Iris Xe,16,512,SSD,81,42,80,80,63.15,70.85,76.5,70.8,68.95,Editing
11th Gen Core i7,Intel Iris Xe Graphics,16,512,SSD,78,42,80,80,62.4,69.8,75.6,69.9,67.9,Editing
AMD Ryzen 5 5600H,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,72,58,55,80,64.35,65.45,69.15,65.85,65.6,Gaming
Ryzen 5 5600H,AMD Radeon Graphics,8,512,SSD,72,30,55,80,51.75,58.45,66.35,58.85,57.2,Daily Use
12th Gen Core i5,Intel Integrated Iris Xe,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
AMD Ryzen 5-5600H,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,72,58,55,80,64.35,65.45,69.15,65.85,65.6,Gaming
Ryzen 7-4800H,4 GB NVIDIA GeForce GTX 1650 Max Q,16,512,SSD,72,55,80,80,66.75,70.95,75.1,71.35,69.7,Editing
AMD Ryzen 5 4600H,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,65,58,55,80,62.6,63.0,67.05,63.75,63.15,Gaming
AMD Ryzen 5 5600H,4 GB NVIDIA GeForce RTX 3050,8,512,SSD,72,70,55,80,69.75,68.45,70.35,68.85,69.2,Gaming
12th Gen Core i5,Intel Iris Xe Graphics,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
12th Gen Core i5,4 GB NVIDIA GeForce RTX 2050,16,512,SSD,71,60,80,80,68.75,71.85,75.3,72.3,70.85,Editing
11th Gen Core i3,Intel UHD Graphics,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
12th Gen Core i5,Intel Integrated Intel Iris Xe Graphics,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
12th Gen Core i3,Intel Iris Xe,8,512,SSD,54,42,55,80,52.65,55.15,62.15,56.45,54.5,Daily Use
12th Gen Core i5,‎Intel Iris Xe Graphics,8,512,SSD,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use
11th Gen Core i7,4 GB NVIDIA GeForce GTX 1650 MAX Q,8,512,SSD,78,55,55,80,64.5,66.8,70.65,66.9,66.8,Daily Use
12th Gen Core i7,Intel Iris Xe Graphics,16,1000,SSD,81,42,80,95,65.4,73.1,81.75,73.8,71.2,Editing
11th Gen Core i5,Intel Integrated Iris Xe,16,512,SSD,68,42,80,80,59.9,66.3,72.6,66.9,64.4,Editing
11th Gen Core i5,Intel UHD Graphics,8,512,SSD,68,25,55,80,48.5,55.8,64.65,56.4,54.3,Daily Use
Ryzen 5 7520U,AMD Radeon Graphiics,8,512,SSD,52,30,55,80,46.75,51.45,60.35,52.85,50.2,Daily Use
11th Gen Core i3,Intel Integrated UHD,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
12th Gen Core i5,Intel Integrated UHD,8,512,SSD,71,25,55,80,49.25,56.85,65.55,57.3,55.35,Daily Use
13th Gen Core i7,‎Intel Iris Xe Graphics,16,512,SSD,83,42,80,80,63.65,71.55,77.1,71.4,69.65,Editing
13th Gen Core i7,‎Intel Iris Xe Graphics,16,512,SSD,83,42,80,80,63.65,71.55,77.1,71.4,69.65,Editing
13th Gen Core i7,‎Intel Iris Xe Graphics,16,1000,SSD,83,42,80,95,65.9,73.8,82.35,74.4,71.9,Editing
13th Gen Core i5,‎Intel Iris Xe Graphics,16,512,SSD,73,42,80,80,61.15,68.05,74.1,68.4,66.15,Editing
13th Gen Core i5,Intel Iris Xe Graphics,16,512,SSD,73,42,80,80,61.15,68.05,74.1,68.4,66.15,Editing
AMD Ryzen 5 5500U,AMD Radeon Graphics,8,512,SSD,62,30,55,80,49.25,54.95,63.35,55.85,53.7,Daily Use
13th Gen Core i5,Intel Iris Xe Graphics,16,512,SSD,73,42,80,80,61.15,68.05,74.1,68.4,66.15,Editing
13th Gen Core i7,Intel Iris Xe Graphics,16,1000,SSD,83,42,80,95,65.9,73.8,82.35,74.4,71.9,Editing
13th Gen Core i7,Intel Iris Xe Graphics,16,512,SSD,83,42,80,80,63.65,71.55,77.1,71.4,69.65,Editing
13th Gen Core i5,Intel Iris Xe Graphics,16,512,SSD,73,42,80,80,61.15,68.05,74.1,68.4,66.15,Editing
13th Gen Core i7,‎Intel Iris Xe Graphics,16,1000,SSD,83,42,80,95,65.9,73.8,82.35,74.4,71.9,Editing
13th Gen Core i7,Intel Iris Xe Graphics,16,512,SSD,83,42,80,80,63.65,71.55,77.1,71.4,69.65,Editing
13th Gen Core i7,Intel Iris Xe Graphics,16,512,SSD,83,42,80,80,63.65,71.55,77.1,71.4,69.65,Editing
13th Gen Core i7,Intel Iris Xe Graphics,16,1000,SSD,83,42,80,95,65.9,73.8,82.35,74.4,71.9,Editing
11th Gen Core i5,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,68,58,55,80,63.35,64.05,67.95,64.65,64.2,Gaming
AMD Ryzen 3 3250U,AMD Radeon Graphics,8,256,SSD,32,30,55,65,39.5,42.2,49.1,43.85,40.95,Daily Use
AMD Ryzen 5-5625U,AMD Radeon Radeon Graphics,8,512,SSD,66,30,55,80,50.25,56.35,64.55,57.05,55.1,Daily Use
12th Gen Core i3,Intel Iris Xe Graphics,8,512,SSD,54,42,55,80,52.65,55.15,62.15,56.45,54.5,Daily Use
AMD Ryzen 5-5600H,4 GB NVIDIA GeForce GTX 1650,8,256,SSD,72,58,55,65,62.1,63.2,63.9,62.85,63.35,Gaming
AMD Ryzen 5 5500U,AMD Radeon,16,512,SSD,62,30,80,80,53.0,61.2,69.6,62.1,58.7,Daily Use
Ryzen 5 5500U,AMD Radeon Graphics,16,512,SSD,62,30,80,80,53.0,61.2,69.6,62.1,58.7,Daily Use
12th Gen Core i5,4 GB NVIDIA GeForce RTX 3050,8,512,SSD,71,70,55,80,69.5,68.1,70.05,68.55,68.85,Gaming
AMD Ryzen 7 6800H,4 GB NVIDIA GeForce RTX 3050 Ti,16,512,SSD,82,73,80,80,77.35,78.95,79.9,78.85,78.6,All-Rounder
Ryzen 5-5600H,4 GB NVIDIA GeForce RTX 3050,8,512,SSD,72,70,55,80,69.75,68.45,70.35,68.85,69.2,Gaming
10th Gen Core i5,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,65,58,55,80,62.6,63.0,67.05,63.75,63.15,Gaming
12th Gen Core i5,Intel Iris Xᵉ Graphics,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
12th Gen Core i7,Intel Iris Xe Graphics,16,512,SSD,81,42,80,80,63.15,70.85,76.5,70.8,68.95,Editing
11th Gen Core i3,Intel UHD Graphics,8,256,SSD,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use
Ryzen 5 5500U,AMD Radeon AMD,8,256,SSD,62,30,55,65,47.0,52.7,58.1,52.85,51.45,Daily Use
